position,track_name,title_author,danceability,energy,speechiness,valence,mode,acousticness,tempo,duration_ms,loudness,key,URL
42,Tusa,KAROL G,0.803,0.715,0.298,0.574,1,0.295,101.085,200960,-3.28,2,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
43,Mit Dir,Loredana,0.752,0.526,0.335,0.643,0,0.159,195.897,158049,-5.863,1,https://open.spotify.com/track/26FNTVsgF4m31xvDgFfhGW
44,A Little Less Conversation (feat. The Great Escape),Nebbra,0.44,0.71,0.131,0.837,0,0.567,93.147,171474,-6.093,5,https://open.spotify.com/track/0OsylRd3BPdrqKcy06am1w
45,T-Shirt,KASIMIR1441,0.765,0.62,0.48,0.719,1,0.0906,89.688,108603,-13.747,10,https://open.spotify.com/track/2ysuyHrDnmlJexX7Mfh2J1
46,In Your Eyes,Ellipso,0.747,0.853,0.0491,0.452,0,0.00635,127.983,172388,-4.262,9,https://open.spotify.com/track/2SKvJYUnih2apztfzWBQUd
47,If the World Was Ending - feat. Julia Michaels,JP Saxe,0.464,0.473,0.129,0.604,1,0.866,75.801,208687,-10.086,1,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
48,Lottery (Renegade),K CAMP,0.915,0.556,0.216,0.67,1,0.0145,148.964,170947,-8.601,1,https://open.spotify.com/track/4dZTZbmJBCCofAExHwefda
49,Turn Me On (feat. Vula),Riton,0.737,0.828,0.0396,0.517,1,0.0149,124.052,208474,-4.711,11,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
50,Dance Monkey,Tones And I,0.825,0.593,0.0988,0.54,0,0.688,98.078,209755,-6.401,6,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
1,Kraazy,Likybo,0.689,0.701,0.237,0.37,0,0.314,94.982,151579,-9.477,6,https://open.spotify.com/track/3s2Qd1rsWqbvOoxpFTRp8D
2,The Box,Roddy Ricch,0.896,0.586,0.0559,0.642,0,0.104,116.971,196653,-6.687,10,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,Psycho!,MASN,0.868,0.365,0.0383,0.471,1,0.433,114.979,197217,-9.51,7,https://open.spotify.com/track/4sSu9BtWSCWRNjGD2AvqbG
4,Blinding Lights,The Weeknd,0.513,0.796,0.0629,0.345,1,0.00147,171.017,201573,-4.075,1,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
5,Hauseingang,Pashanim,0.549,0.396,0.437,0.284,0,0.168,79.559,141452,-8.435,8,https://open.spotify.com/track/1IikW5aCjY08gagX94j3fJ
