position,track_name,title_author,danceability,energy,speechiness,valence,mode,acousticness,tempo,duration_ms,loudness,key,URL
5,Coffin Dance,Music Falcon,0.728,0.479,0.0343,0.117,1,0.00986,124.075,135847,-10.786,4,https://open.spotify.com/track/50fboiidqkAhrE5dNueFKR
6,Uskollinen ystävä,Konsta Hietanen,0.585,0.266,0.0661,0.225,0,0.148,113.571,221435,-11.486,9,https://open.spotify.com/track/2jPK3jGV0m1POqIuMum2GN
7,THE SCOTTS,THE SCOTTS,0.716,0.537,0.0514,0.28,0,0.233,129.979,165978,-7.648,0,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
8,ROCKSTAR (feat. Roddy Ricch),DaBaby,0.746,0.69,0.164,0.497,1,0.247,89.977,181733,-7.956,11,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
9,Rakastan elämää,Petrus Schroderus,0.25,0.167,0.0422,0.234,0,0.911,160.618,209054,-14.439,3,https://open.spotify.com/track/3jR39eM4EV3W4yLnfgJh4O
10,ily (i love you baby) (feat. Emilee),Surf Mesa,0.674,0.774,0.0892,0.33,0,0.0686,112.05,176547,-7.567,11,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
11,100%,Keko Salata,0.735,0.676,0.0826,0.331,1,0.702,102.115,203749,-6.381,8,https://open.spotify.com/track/6WVeP76nOIPfbGN67aJ2Pq
12,Cleopatra,Efendi,0.588,0.653,0.0594,0.52,1,0.0455,170.035,180706,-6.738,2,https://open.spotify.com/track/6Rt5DJgi7E2wETXueJF0XM
13,Ruthless (Nice Guys Always Finish Last),MarMar Oso,0.724,0.269,0.0456,0.866,1,0.388,86.042,233023,-15.465,5,https://open.spotify.com/track/6HeCk6yewXH7WO4D93eub9
14,Hyvännäköinen,Jonna Tervomaa,0.912,0.724,0.038,0.907,0,0.0327,129.105,207182,-9.392,7,https://open.spotify.com/track/1rsU7CQJZi6XwbdEIWruU4
15,Laxed – Siren Beat,Jawsh 685,0.736,0.62,0.11,0.959,0,0.0577,150.026,201990,-8.481,0,https://open.spotify.com/track/3BJiF37kmX4HCfYSO7qBnQ
16,Kesäxi rapakuntoon,Bat & Ryyd,0.726,0.909,0.0773,0.459,1,0.0434,124.006,197419,-9.261,0,https://open.spotify.com/track/6iCROUZnz2AT8OgYfSa0Ff
17,Banana (feat. Shaggy),Conkarah,0.856,0.834,0.245,0.824,1,0.0582,95.056,184421,-4.012,8,https://open.spotify.com/track/6ON9qDoT2beR9dQ0evOOj1
18,50//50,Vantage,0.837,0.698,0.0511,0.397,1,0.0608,124.136,246167,-7.215,7,https://open.spotify.com/track/36lNDeaRf8F8aYaP0zaHpm
19,Rover (feat. DTG),S1mba,0.613,0.624,0.206,0.804,0,0.496,62.948,167917,-6.66,11,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
20,Penelope (feat. Clever),william,0.794,0.668,0.0366,0.789,1,0.0434,129.948,183702,-6.24,9,https://open.spotify.com/track/4NVHhia6yRB4RsRTlpzsz3
21,Play Date,Melanie Martinez,0.68,0.729,0.0475,0.446,1,0.612,123.97,179867,-5.077,5,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
